STATUS,cEXT,cAGR,cNEU,cCON,cOPN
likes  the  sound  of  thunder ,n,n,y,n,y
is  so  sleepy  its  not  even  funny  thats  she  cant  get  to  sleep ,n,n,y,n,y
is  sore  and  wants  the  knot  of  muscles  at  the  base  of  her  neck  to  stop  hurting  on  the  other  hand  yay  im  in  illinois  3 ,n,n,y,n,y
likes  how  the  day  sounds  in  this  new  song ,n,n,y,n,y
is  home  3 ,n,n,y,n,y
wwwthejokerblogscom ,n,n,y,n,y
saw  a  nun  zombie  and  liked  it  also  propname    tentacleman    psychic  powers    great  party ,n,n,y,n,y
is  in  kentucky  421  miles  into  her  1100  mile  journey  home ,n,n,y,n,y
was  about  to  finish  a  digital  painting  before  her  tablet  went  haywire  is  now  contemplating  the  many  ways  she  wishes  to  exact  her  revenge  on  faulty  technology ,n,n,y,n,y
is  celebrating  her  new  haircut  by  listening  to  swinger  music  and  generally  looking  like  a  doofus ,n,n,y,n,y
has  a  crush  on  the  green  lantern ,n,n,y,n,y
has  magic  on  the  brain ,n,n,y,n,y
saw  transformers  up  and  year  one  this  week  good  movie  overload  d ,n,n,y,n,y
who  wants  to  meet  up  on  schedule  pickup  day  at  oviedo ,n,n,y,n,y
desires  the  thrill  of  inspiration  also  money ,n,n,y,n,y
is  going  to  bed  at  930  yeah ,n,n,y,n,y
is  reading  admiring  her  permit  and  occasionally  glancing  at  her  ner  mcdonalds  uniform ,n,n,y,n,y
thinks  intangibility  should  be  an  option  in  reality  settings ,n,n,y,n,y
is  tired  propname  let  me  go  to  sleep  pl0x ,n,n,y,n,y
is  discovering  the  many  flavors  of  insomnia ,n,n,y,n,y
is  watching  cousin  play  computer  game  on  televison  box  thing  also  sleepy ,n,n,y,n,y
why  is  it  im  only  getting  the  urge  to  draw  when  i  have  stuff  to  do  for  school  d ,n,n,y,n,y
whoda  thought  a  single  text  message  could  be  enough  to  change  my  mind ,n,n,y,n,y
wishes  to  develop  a  super  power  that  prevents  her  from  needing  to  sleep ,n,n,y,n,y
tell  me  what  to  draw  plox ,n,n,y,n,y
found  a  bunny  bunny  died  buried  bunny  now  is  drawing ,n,n,y,n,y
3 ,n,n,y,n,y
is  just  about  insane  by  now ,n,n,y,n,y
wants  to  sleep  eight  hours  tonight  and  so  she  shall ,n,n,y,n,y
really  hates  hormones  and  emotions  right  now  well  has  hated  them  a  lot  recently  goodness ,n,n,y,n,y
has  a  watch  that  matches  her  glasses  she  wishes  she  hadnt  spazzed  with  glee  when  she  saw  it  in  the  store ,n,n,y,n,y
loved  9  allegory  symbolism  talking  ragdolls  satire  and  explosions  yes ,n,n,y,n,y
cant  sit  on  her  futon  because  she  knows  as  soon  as  she  does  shell  lie  down  and  pass  out  uncomfortable  rolly  desk  chair  it  is   ,n,n,y,n,y
should  spend  less  time  writing  chapters  for  the  story  shell  never  finish  and  try  reading  more  books  preferably  during  the  daytime  and  not  at  300  am ,n,n,y,n,y
is  watching  kids  cartoons  and  wishing  she  werent  so  old ,n,n,y,n,y
has  work  tomorrow  and  hopes  they  teach  her  how  to  use  the  cash  register  d ,n,n,y,n,y
is  grateful  she  did  most  of  her  work  during  her  wait  for  a  ride  home  this  afternoon  and  then  during  the  open  house  sleeeep  she  beckons ,n,n,y,n,y
has  a  really  confusing  internal  dilemma  she  also  wonders  if  anyone  can  guess  what  it  is ,n,n,y,n,y
thinks  she  needs  to  stop  leaving  so  many  pictures  halfdone  before  getting  new  ideas ,n,n,y,n,y
has  grown  weary  of  drawing  her  paranoid  soldierhousewife  jynx  character  in  comic  form  and  must  thusly  go  to  sleep  to  replenish  her  desire  to  work  tirelessly  on  a  mere  audition ,n,n,y,n,y
is  seeing  9  tonight  maybe ,n,n,y,n,y
is  going  to  work  on  comics  then  crash  into  her  futon  with  all  the  love  unconsciousness  deserves ,n,n,y,n,y
weekend  i  love  you ,n,n,y,n,y
is  listening  to  relient  k  and  thinking  about  plants  lawyers  and  internships ,n,n,y,n,y
is  drawing  instead  of  homeworking    this  is  fun  but  not  good ,n,n,y,n,y
will  sleep  like  a  champion  tonight ,n,n,y,n,y
dishes  webcomics  laziness  internal  lack  of  disruption  alright ,n,n,y,n,y
wishes  she  werent  ticklish  sometimes  right  now  though  is  not  one  of  those  times   ,n,n,y,n,y
has  a  magical  ceiling ,n,n,y,n,y
went  to  bed  early  slept  in  and  still  feels  like  she  hasntgotten  a  proper  nights  sleep ,n,n,y,n,y
got  taught  how  to  use  the  register  3  enjoyed  500  days  of  summer  and  is  looking  forward  to  going  to  the  beach  monday ,n,n,y,n,y
