text,label
likes  the  sound  of  thunder ,1
is  so  sleepy  its  not  even  funny  thats  she  cant  get  to  sleep ,1
is  sore  and  wants  the  knot  of  muscles  at  the  base  of  her  neck  to  stop  hurting  on  the  other  hand  yay  im  in  illinois  3 ,1
likes  how  the  day  sounds  in  this  new  song ,1
is  home  3 ,1
wwwthejokerblogscom ,1
saw  a  nun  zombie  and  liked  it  also  propname    tentacleman    psychic  powers    great  party ,1
is  in  kentucky  421  miles  into  her  1100  mile  journey  home ,1
was  about  to  finish  a  digital  painting  before  her  tablet  went  haywire  is  now  contemplating  the  many  ways  she  wishes  to  exact  her  revenge  on  faulty  technology ,1
is  celebrating  her  new  haircut  by  listening  to  swinger  music  and  generally  looking  like  a  doofus ,1
has  a  crush  on  the  green  lantern ,1
has  magic  on  the  brain ,1
saw  transformers  up  and  year  one  this  week  good  movie  overload  d ,1
who  wants  to  meet  up  on  schedule  pickup  day  at  oviedo ,1
desires  the  thrill  of  inspiration  also  money ,1
is  going  to  bed  at  930  yeah ,1
is  reading  admiring  her  permit  and  occasionally  glancing  at  her  ner  mcdonalds  uniform ,1
thinks  intangibility  should  be  an  option  in  reality  settings ,1
is  tired  propname  let  me  go  to  sleep  pl0x ,1
is  discovering  the  many  flavors  of  insomnia ,1
is  watching  cousin  play  computer  game  on  televison  box  thing  also  sleepy ,1
why  is  it  im  only  getting  the  urge  to  draw  when  i  have  stuff  to  do  for  school  d ,1
whoda  thought  a  single  text  message  could  be  enough  to  change  my  mind ,1
wishes  to  develop  a  super  power  that  prevents  her  from  needing  to  sleep ,1
tell  me  what  to  draw  plox ,1
found  a  bunny  bunny  died  buried  bunny  now  is  drawing ,1
3 ,1
is  just  about  insane  by  now ,1
wants  to  sleep  eight  hours  tonight  and  so  she  shall ,1
really  hates  hormones  and  emotions  right  now  well  has  hated  them  a  lot  recently  goodness ,1
has  a  watch  that  matches  her  glasses  she  wishes  she  hadnt  spazzed  with  glee  when  she  saw  it  in  the  store ,1
loved  9  allegory  symbolism  talking  ragdolls  satire  and  explosions  yes ,1
cant  sit  on  her  futon  because  she  knows  as  soon  as  she  does  shell  lie  down  and  pass  out  uncomfortable  rolly  desk  chair  it  is   ,1
should  spend  less  time  writing  chapters  for  the  story  shell  never  finish  and  try  reading  more  books  preferably  during  the  daytime  and  not  at  300  am ,1
is  watching  kids  cartoons  and  wishing  she  werent  so  old ,1
has  work  tomorrow  and  hopes  they  teach  her  how  to  use  the  cash  register  d ,1
is  grateful  she  did  most  of  her  work  during  her  wait  for  a  ride  home  this  afternoon  and  then  during  the  open  house  sleeeep  she  beckons ,1
has  a  really  confusing  internal  dilemma  she  also  wonders  if  anyone  can  guess  what  it  is ,1
thinks  she  needs  to  stop  leaving  so  many  pictures  halfdone  before  getting  new  ideas ,1
has  grown  weary  of  drawing  her  paranoid  soldierhousewife  jynx  character  in  comic  form  and  must  thusly  go  to  sleep  to  replenish  her  desire  to  work  tirelessly  on  a  mere  audition ,1
is  seeing  9  tonight  maybe ,1
is  going  to  work  on  comics  then  crash  into  her  futon  with  all  the  love  unconsciousness  deserves ,1
weekend  i  love  you ,1
is  listening  to  relient  k  and  thinking  about  plants  lawyers  and  internships ,1
is  drawing  instead  of  homeworking    this  is  fun  but  not  good ,1
will  sleep  like  a  champion  tonight ,1
dishes  webcomics  laziness  internal  lack  of  disruption  alright ,1
wishes  she  werent  ticklish  sometimes  right  now  though  is  not  one  of  those  times   ,1
has  a  magical  ceiling ,1
went  to  bed  early  slept  in  and  still  feels  like  she  hasntgotten  a  proper  nights  sleep ,1
got  taught  how  to  use  the  register  3  enjoyed  500  days  of  summer  and  is  looking  forward  to  going  to  the  beach  monday ,1
hates  fml  on  principle ,1
realizes  traditional  media  hate  her  and  has  shunned  her  penvcils  in  favor  of  the  tablet  thatll  learn  em ,1
was  all  prepared  to  do  her  weekend  homeowrk  the  morning  it  was  due  but  realized  she  left  the  necessary  binder  at  school  fffffffffffff ,1
has  early  work  blargedyargdeyblah  minimuuum  waaaage  i  looove  youuu ,1
far  away    this  ship  has  taken  me  so  far  away  goshdarnit  muse  stop  being  so  awesome ,1
is  a  little  excited  to  see  the  talent  show ,1
is  tired  she  would  sleep  but  theres  a  cat  on  her  desk  that  requires  supervision ,1
i  dont  hate  you  well  you  found  me  congratulations  was  it  worth  it  the  only  thing  youve  managed  to  break  so  far  is  my  heart  this  isnt  brave  its  murder  what  did  i  ever  do  to  you  you  dont  care  do  you  please  proceed  to  andorid  hell ,1
needs  a  stupid  fluffy  book  to  read  inbetween  experiences  of  normalcy ,1
will  be  up  very  late  so  she  can  ride  with  her  dad  to  the  airport  to  pick  up  her  mamacita  from  a  as  of  now  1120  pm  landing  in  from  illinois ,1
is  in  complete  love  with  the  blackberry  her  mom  just  surprised  her  with  and  yes  she  is  so  excited  that  caps  are  completely  necessary  3  3  3  3  33 ,1
is  looking  forward  to  early  january  not  the  birthday  per  se  but  the  potential  to  meet  a  good  friend   ,1
needs  to  stop  listening  to  her  normal  playlist  if  she  wants  to  stop  waking  up  feeling  like  shes  missed  something  big ,1
spews  toxic  gas  into  your  personal  air  bubble  its  super  effective ,1
has  a  comfortably  comfy  and  mildly  oversized  cotton  jacket  from  walmart  yay  its  so  soft  3  3  3 ,1
thinks  oviedo  play  was  awesome  as  it  should  be  sleep  though  she  beckons  sweetly  with  the  promise  of  dreams  and  pillowrelated  comfort  night  all ,1
just  made  a  nucketful  of  cookies  and  a  bunch  of  baked  fries    yes  i  am  awesome ,1
has  made  more  cookies  as  well  as  a  bunch  of  croissants  for  breakfast  and  piggies  in  various  blankets  for  tomorrow  afternoon  despite  the  lateearly  hour  this  is  only  further  awesomeness ,1
has  a  fair  idea  of  how  to  manage  the  25  kids  cliche  she  just  needs  a  very  strong  gentleman  named  propname  and  thriteen  wet  napkins ,1
saw  up  also  saw  two  chuck  norris  movies  ffffffffffff  weirdest  mix  ever ,1
has  an  autobot  lunchbox  and  can  therefore  die  happy  now    in  other  news  she  has  also  spent  the  last  three  hours  on  an  off  reading  a  webcomic  that  started  in  1999 ,1
  in  the  post  office  with  the  longoverdue  copy  of  photoshop  for  a  friend  i  win  at  the  game  of  clue ,1
clakclakclak  rawrrrrr  mel  haxxxxxx  rwrrrrrrrr  lolzlolzlolzlolz  im  so  hood  punk  stoopid  yo ,1
we  are  not  who  you  think  we  are  we  are  golden ,1
i  am  a  lumberjack  with  a  castro  hat ,1
the  day  you  wake  up  and  realize  youve  just  slept  twelve  hours  and  still  want  to  sleep  some  more  is  the  day  you  need  to  get  back  on  a  regular  sleeping  schedule ,1
actually  doesnt  mind  coloring  with  markers  as  much  as  she  thought  yay  for  coloring  vividly  creepy  villainesses  d ,1
thinks  maybe  singing  along  with  the  radio  during  most  of  the  eighthour  ride  home  didnt  help  her  throatcoughchestcold  thingvery  much ,1
drove  to  a  gas  station  number  of  times  sent  into  a  panic  behind  the  wheel  6  i  hate  40  mph  zones  d ,1
a  great  new  year  to  everybody    3  make  the  best  of  everything  you  see  and  never  let  the  bad  stuff  keep  you  down  for  long ,1
has  48  hours  to  do  pretty  much  all  her  break  work  clean  her  room  do  the  dishes  rearrange  the  furniture  in  her  room  and  practive  drop  spins  maybe  a  dozen  more  times  xd  why  not  right ,1
is  open  to  requests ,1
